gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,significance
ENSG00000288989,55.27854812963877,-1.1602729115934551,0.33194790983754086,2.1299641927275645e-5,0.01283340149638922,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000282431,39.38833897685001,-1.0528384685733332,0.3275057915695122,6.088516030024627e-5,0.019700859369003763,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000171517,65.37365599364918,-1.4534187068504638,0.5091451624080742,1.5470916213651366e-4,0.031177010635644903,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000259717,223.43047822074826,-1.290995701323068,0.45426704520692063,1.6783126618905036e-4,0.03258350793468086,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000287967,43.49434660945425,-1.011919658129645,0.3554182167823085,1.9401826241691823e-4,0.035281687521579126,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000258858,28.702791213815072,-1.483724722472502,0.5509393176551276,2.4005161427251962e-4,0.03745019514449764,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000289917,83.03578914882785,-1.2518738700249725,0.460875569025283,2.4453864633200396e-4,0.03781259971114252,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000231881,151.0266397385796,-1.3588383070206331,0.51815569424047625,2.9887488092511933e-4,0.03873412263605701,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000158050,1650.8313610918012,-1.1282703278620851,0.4326014707859326,3.390161789170437e-4,0.03923533208052712,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000288610,101.73468636707528,-1.3316999750762502,0.5280913646727595,3.92675187390972e-4,0.0423531700572991,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000224376,41.890849304501565,-1.0167290632720716,0.4053913744631113,4.893402564705295e-4,0.04516553507408701,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000184545,85.35812921391914,-1.2865589425121546,0.5340947991932411,5.301248802803576e-4,0.04631436016569344,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000246214,38.11628338159217,-1.6296577285156595,0.7113977495100362,6.26753729930291e-4,0.048764903420515315,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000233968,69.49920013392563,-1.1405623712078456,0.48910066437714605,6.792667758858779e-4,0.04906965642576638,stroke_d2 vs control (SUBACUTE),Downregulated
ENSG00000189149,39.935140334656396,-1.1838616214108144,0.5182626697966589,7.465340738988928e-4,0.04989749742129054,stroke_d2 vs control (SUBACUTE),Downregulated
