gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,significance
ENSG00000113088,820.16449343288,-1.3821955018295573,0.30553886022403764,1.5178452454004465e-6,8.263556112416234e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000174516,308.3731965060215,-1.0406530625685677,0.22524071809726273,1.539185417690157e-6,8.372135333872839e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000261008,89.0450031583386,-1.2997384228146869,0.2858912584193724,1.5544183747256072e-6,8.45058762872113e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000176531,164.2935900336679,-1.0844470365229397,0.235474198426585,1.5542121443571835e-6,8.45058762872113e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000180066,20.316526554674134,-2.182903980337256,0.4986361532738531,1.556163013300981e-6,8.45680974053572e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000282828,15.575709820882507,-3.431886667978046,0.8052014955084092,1.5605161035184113e-6,8.474704980656372e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000161813,1328.1060440512445,-1.0919636790902543,0.23729951328520774,1.5603212882164172e-6,8.474704980656372e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000247134,52.247375691699744,-1.829225560547287,0.4141836853428262,1.5670721388166818e-6,8.502607247308069e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000279673,35.87367376292988,-1.9234990982796079,0.43718547613997666,1.5836290198329475e-6,8.58855521339524e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000102032,389.6683369697596,-1.221414813977223,0.26790647687840585,1.594762580338559e-6,8.64698082787233e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000180376,1080.170834772792,-1.0716913804915467,0.23300062081244347,1.607183571604901e-6,8.704488801768008e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000165389,270.5042488033988,-1.3174720011077545,0.29082922735260625,1.6099928942524562e-6,8.71380040396353e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000053372,372.8406731514269,-1.1546184032740943,0.25498455871104997,1.6159857390294332e-6,8.740317995806014e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000279602,2351.2881634960568,-2.9900567787831105,0.7072483364062875,1.6180896023982734e-6,8.747751317564335e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000268584,25.95929696429021,-1.9354672668667794,0.4398011982379274,1.6354708783744318e-6,8.829775462668984e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000051825,2083.1966855041355,-1.0010482039059625,0.21687258026536996,1.6612083582322718e-6,8.942558663776957e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000163512,703.1340210942384,-1.0318258960090287,0.2240783710176865,1.6651719024948895e-6,8.959872686926731e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000172927,36.370647503366364,-2.1109744925590626,0.48501482552015895,1.676564516572412e-6,9.01712721158098e-6,stroke_d1 vs control (ACUTE),Downregulated
