gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,significance
ENSG00000253720,469.94485897509975,2.7798340479526322,0.2385912729696831,2.2675778340912574e-32,7.768721659596648e-29,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000259151,107.65108962604866,2.792204942720932,0.23957339580240733,2.252732879667839e-32,7.768721659596648e-29,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000240288,232.55283965742942,1.7877881222435446,0.1547877333240647,1.3882926033869095e-31,4.161754151803108e-28,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000236977,907.4709683047107,1.934676378929597,0.17583739602224188,6.396673787193827e-29,1.2522324856237408e-25,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000289698,491.4923614357745,2.1639361972473847,0.19711063410482757,6.788016976527658e-29,1.2522324856237408e-25,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000291232,418.03935525063685,1.9448635323235852,0.18032358572912127,6.5719003127050265e-28,9.850457081205747e-25,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000279202,138.8571020231447,2.8236854893073984,0.26435038050971027,1.2427181019569422e-27,1.6557147511739658e-24,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000131368,728.8479025315866,1.49651952262186,0.1396025525990122,1.9806362801023147e-27,2.49997996154809e-24,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000233334,221.984737396595,2.128264608603966,0.20108547119792136,4.804025040536433e-27,5.236824023733851e-24,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000231799,224.2273756622393,2.4864563365069423,0.23614948345722872,7.348776650893352e-27,7.662537462683667e-24,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000230789,134.87901976421134,2.8819849952373957,0.27756561690531256,2.8808999345674547e-26,2.5588793418813592e-23,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000065665,231.77110371482243,1.9912065975327256,0.19224238304624444,5.910272691211677e-26,4.4293799900199507e-23,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000248544,119.75923766974557,2.707740324271991,0.26640911333331174,2.963064837324861e-25,1.6428216828238964e-22,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000287680,407.8076666711407,3.2982488763679947,0.325400087256131,3.142306853649173e-25,1.6746400658714323e-22,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000145990,586.2519463516377,2.0570045205170735,0.20525056331704247,1.8076166511006386e-24,6.669271157953156e-22,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000255141,73.49562397410573,2.38303679539861,0.2405937802626347,5.256898129786931e-24,1.6372848175136387e-21,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000225460,115.28245447595991,2.7506616148251974,0.2790341459183826,6.409653250200614e-24,1.945776003117862e-21,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000285420,248.03951374323364,1.9154432418204386,0.19459270907169843,1.1749668384549552e-23,3.354530323788897e-21,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000225636,123.21501470691436,3.2013374582299177,0.3290029819639406,1.936527954084833e-23,5.218181280321624e-21,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000151474,118.61942805431741,2.0229926250895525,0.2087442101548375,5.040150304269007e-23,1.2097366956552495e-20,stroke_d1 vs control (ACUTE),Upregulated
ENSG00000245275,354.78727854779567,2.094476205250168,0.2174877933352557,8.582046848544155e-23,1.9235013787082798e-20,stroke_d1 vs control (ACUTE),Upregulated
