ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
MF,GO:0017017,MAP kinase tyrosine/serine/threonine phosphatase activity,2/13,11/13352,4.789383488136314e-5,0.0015796284617536863,0.0010883564521173724,DUSP2/DUSP8,2
MF,GO:0033549,MAP kinase phosphatase activity,2/13,12/13352,5.744103497286132e-5,0.0015796284617536863,0.0010883564521173724,DUSP2/DUSP8,2
MF,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,2/13,37/13352,5.71726723690421e-4,0.010481656600991051,0.007221811246615846,DUSP2/DUSP8,2
MF,GO:0017018,myosin phosphatase activity,2/13,66/13352,0.0018122817789773952,0.024918874460939183,0.01716898527452269,DUSP2/DUSP8,2
MF,GO:0004725,protein tyrosine phosphatase activity,2/13,75/13352,0.002333005042325319,0.02566305546557851,0.017681722426044526,DUSP2/DUSP8,2
MF,GO:0004722,protein serine/threonine phosphatase activity,2/13,83/13352,0.002848443064041638,0.026110728087048344,0.017990166720262976,DUSP2/DUSP8,2
