ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0005685,U1 snRNP,16/3861,27/13769,6.648587440928226e-4,0.016002462185406557,0.015107135165230743,SNRPD2/SNRPE/RNVU1-7/SNRPB/SNRPG/RNVU1-15/RNVU1-8/SNRPD3/SNRPB2/SNRPN/RNU1-4/PRPF40B/RNVU1-4/RNVU1-20/RNVU1-3/RNVU1-2A,16
CC,GO:0097525,spliceosomal snRNP complex,37/3861,82/13769,6.892302579718883e-4,0.016036090668812602,0.01513888215755797,SF3B5/SNRPD2/SNU13/TSSC4/AAR2/LSM2/PHF5A/SNRPE/SF3B6/RNVU1-7/RNU5B-1/SNRPB/RBM42/SNRPG/RNU5A-1/RNVU1-15/SNRNP40/LSM3/RNVU1-8/LSM5/SNRPD3/SNRPB2/DDX39B/RNU11/RNU4-2/RNU4-1/RNU5F-1/SNRPN/RNU1-4/PRPF40B/TAF12-DT/RNU4ATAC/RNVU1-4/RNVU1-20/RNVU1-3/RNVU1-2A/RNU5D-1,37
CC,GO:0045277,respiratory chain complex IV,12/3861,18/13769,7.298055508201192e-4,0.016432395950723974,0.015513014424903044,NDUFA4/COX7C/COX6A1/COX4I1/COX8A/COX5B/COX6B1/COX7A2L/COX7A2/COX7B/COA6/C15orf48,12
CC,GO:0030532,small nuclear ribonucleoprotein complex,40/3861,91/13769,8.11643185583893e-4,0.017703966985548665,0.016713441913668324,SF3B5/SNRPD2/SNU13/TSSC4/AAR2/LSM2/PHF5A/LSM10/SNRPE/SF3B6/RNVU1-7/RNU5B-1/GEMIN4/SNRPB/RBM42/SNRPG/RNU5A-1/RNVU1-15/LARP7/SNRNP40/LSM3/RNVU1-8/LSM5/SNRPD3/SNRPB2/DDX39B/RNU11/RNU4-2/RNU4-1/RNU5F-1/SNRPN/RNU1-4/PRPF40B/TAF12-DT/RNU4ATAC/RNVU1-4/RNVU1-20/RNVU1-3/RNVU1-2A/RNU5D-1,40
CC,GO:0072562,blood microparticle,43/3861,100/13769,9.17850352592774e-4,0.019413925639689585,0.01832772952864678,HSPA8/GRIPAP1/PROS1/PFN1/F13A1/EIF2A/ITGA2B/DNPEP/HBD/CLIC1/IGLV3-25/IGLC2/SERPINF2/IGKV4-1/IGLC3/CIB2/ANXA5/LGALS3BP/CLU/PRSS1/JCHAIN/ITIH2/IGLV3-21/ACSM1/IGHA2/IGKV2D-28/IGHM/IGKC/APOL1/IGHA1/IGKV3-15/C1QB/HPR/IGKV1-17/IGKV3-20/IGHG4/IGHV3-23/IGKV2-30/C1QC/HSPA7/HSPA2/ZNF559-ZNF177/HBB,43
CC,GO:0005687,U4 snRNP,9/3861,12/13769,9.839341784089921e-4,0.02019958989792578,0.01906943639888635,SNRPD2/SNRPE/SNRPB/SNRPG/SNRPD3/DDX39B/RNU4-2/RNU4-1/SNRPN,9
CC,GO:0005751,mitochondrial respiratory chain complex IV,11/3861,17/13769,0.0017665028344890255,0.035229113670666855,0.03325806840271068,NDUFA4/COX7C/COX6A1/COX4I1/COX8A/COX5B/COX6B1/COX7A2L/COX7A2/COX7B/C15orf48,11
CC,GO:0032040,small-subunit processome,32/3861,72/13769,0.002086333128834129,0.040451681220172835,0.038188436802636394,RPS14/IMP3/RPS16/RPS5/RPS13/TBL3/RPS9/IMP4/RPS23/RPS19/RPS11/FBL/SNU13/RPS7/RPS24/RRP9/UTP4/DNTTIP2/RPS27A/RPS3A/RPS19BP1/RPS12/RPS17/RPS15A/KRR1/RRP7A/RPS4X/WDR75/WDR46/NOC4L/RPS27/RPS28,32
MF,GO:0003735,structural constituent of ribosome,110/3719,158/13352,6.728972515963667e-28,7.173084702017269e-25,7.125627737957315e-25,RPL18A/RPS14/MRPS25/RPL39/IMP3/RPL18/RPS16/RPL10/MRPL14/RPS5/RPS2/RPL41/RPL37A/RPS13/RPS21/MRPS12/RPLP1/RPL13/MRPL43/RPLP0P6/RPL15/UBA52/RPS18/RPL13A/RPL32/MRPL54/RPS9/RPLP0/RPLP2/RPL35/RPL8/RPSA/RPS15/RPS23/RPL23A/RSL24D1/MRPL28/RPL36/RPL30/FAU/MRPS34/MRPL41/RPS19/RPS11/MRPS18B/RPL24/MRPS35/MRPL11/RPS20/MRPS16/RPL29/MRPL4/RPL23/RPS7/RPL34/RPS3/RPS24/RPS29/MRPL49/RPL27/RPL10A/RPS25/MRPS2/MRPL37/RPL27A/MRPS23/RPL35A/MRPL51/RPL38/RPL7/RPL31/MRPS7/MRPL17/MRPL18/RPL7A/RPS27A/MRPL57/RPS3A/RPS12/MRPS33/RPS17/RPS15A/MRPL22/RPL19/MRPS18A/RPL21/RPS4X/MRPL13/MRPL34/MRPL36/RPSA2/MRPL12/RPL17/RPL28/MRPL3/MRPL27/RPL22L1/MRPS5/RPL9/MRPL55/MRPL1/MRPL15/MRPL24/RPL26L1/RPS10/MRPS17/MRPL23/RPS27/RPL39L/RPS28,110
MF,GO:0030527,structural constituent of chromatin,64/3719,77/13352,6.059622174302458e-24,3.22977861890321e-21,3.2084104775517226e-21,H4C9/H2BC13/H4C1/H2AC11/H2AC8/H4C6/H3C10/H2BC15/H1-4/H3C8/H4C4/H3C7/H1-10/H4C3/H2BC10/H1-3/H3C2/H3C1/H1-2/H2BC26/H4C12/H2BC17/H4C5/H2AC20/H2AC25/H2BC12/H2AC13/H1-5/H4C2/H4C16/H2BC11/H2AZ1/H4C8/H3C13/H2AC12/H2AC4/H2AC21/H2BC8/H2AC6/H4C11/H3C3/H2AC15/H2BC9/H2AJ/H2BC7/H3C14/H2AX/H4C13/H2BC6/H3C11/H2BC3/H2AC16/H2BC5/H2AC18/H3C6/H1-0/H3C12/H4C15/H2BC18/H2AC19/H3C15/H2BC14/H4C14/CENPA,64
MF,GO:0046982,protein heterodimerization activity,116/3719,263/13352,9.224278917413184e-9,3.277693775320818e-6,3.256008628392163e-6,H4C9/H2BC13/H4C1/BARD1/H2AC11/H2AC8/H4C6/H3C10/H2BC15/H3C8/H4C4/H3C7/TRMT112/H4C3/H2BC10/H3C2/H3C1/RAN/H2BC26/H4C12/H2BC17/H4C5/RRAGA/H2AC20/H2AC25/H2BC12/H2AC13/PHB1/H4C2/H4C16/H2BC11/H2AZ1/H4C8/TAF1/H3C13/PHB2/SLC3A2/SUPT4H1/H2AC12/PPP2R1A/H2AC4/IRAK1/H2AC21/H2BC8/H2AC6/H4C11/H3C3/H2AC15/H2BC9/H2AJ/H2BC7/RALGAPA2/YWHAE/POLE4/PAFAH1B3/H3C14/P4HB/PEF1/H2AX/TP53/H4C13/H2BC6/H3C11/H2BC3/IKZF3/H2AC16/H2BC5/ZHX3/QTRT1/NFYB/TAF4/H2AC18/CYBA/ABCD2/H3C6/ATF2/BAX/TAF6L/XBP1/BCL2L1/SMC1A/TOP2A/GABBR1/AHR/HIP1/MEF2C/LSM5/SLC51A/ZHX1/TPM4/H3C12/H4C15/H2BC18/H2AC19/H3C15/NR4A1/BAK1/CENPW/H2BC14/DRAP1/AOC3/FZD4/ERBB2/ABCG1/ABCG8/SUPT3H/KCNB1/JAM3/KRT10/TLR6/SYT1/H4C14/ROPN1B/PDGFA/CENPA/CEACAM8,116
MF,GO:0003823,antigen binding,59/3719,129/13352,1.0180080729849428e-5,0.0026319796778470268,0.002614566560594558,HLA-DRA/TSPAN4/PPP2R1A/CD1C/HLA-DMA/HLA-DOA/MAML1/EP400/HLA-DPA1/TAP2/HLA-A/IGLV3-25/IGLC2/HLA-DMB/IGHV5-51/IGKV4-1/IGLC3/CD1D/IGLC7/CD1E/TRAV12-1/IGLV3-19/JCHAIN/IGHE/IGHV3-33/SLC7A5/TRBV12-3/IGLL5/IGLV3-21/HLA-DRB1/IGLV1-44/IGLV2-14/HLA-DRB5/IGHA2/IGHV1-18/IGKV2D-28/IGHV3-74/HLA-DPB1/IGHM/IGKC/HLA-DQA1/IGHA1/IGKV3-15/IGHV1-69D/IGKV1-17/IGKV3-20/IGHG4/IGHV3-23/IGHV6-1/IGHV3-48/IGHV4-34/IGKV2-30/IGLV2-23/TRAV8-4/IGHV3-21/IGHV3-15/IGLV1-40/IGHV1-3/CD1B,59
MF,GO:0009055,electron transfer activity,47/3719,97/13352,1.2345120440183053e-5,0.0026319796778470268,0.002614566560594558,NDUFA4/AKR7A2/UQCRC1/CYC1/NDUFA8/SDHC/UQCRH/GPX2/COX4I1/AKR1B1/NDUFB7/IDH3B/COX8A/NDUFS3/NDUFS7/NDUFC2/SDHD/COX5B/NDUFB6/NDUFA5/ADH5/GFUS/COX6B1/NDUFB5/COX7A2L/NDUFA2/CIAPIN1/UQCR10/SURF1/PHGDH/NDUFV1/COX7B/CYBA/NDUFS4/NDUFA1/DEGS1/AOC2/DHRS3/NDUFB2/NDUFS8/ALDH4A1/UQCR11/RDH16/STEAP4/ME1/P4HA2/MAOB,47
MF,GO:0030627,pre-mRNA 5'-splice site binding,11/3719,14/13352,1.1696239035882191e-4,0.020780318020417358,0.020642835912451727,RNVU1-7/RNVU1-15/RNVU1-8/RNU11/RNU1-4/TAF12-DT/RNU4ATAC/RNVU1-4/RNVU1-20/RNVU1-3/RNVU1-2A,11
MF,GO:0015453,oxidoreduction-driven active transmembrane transporter activity,28/3719,54/13352,1.6121631621505725e-4,0.024550941869321576,0.024388513400353022,NDUFA4/UQCRC1/CYC1/NDUFA8/CYB561A3/UQCRH/COX4I1/NDUFB7/COX8A/NDUFS3/NDUFS7/NDUFC2/COX5B/NDUFB6/NDUFA5/COX6B1/NDUFB5/COX7A2L/NDUFA2/UQCR10/SURF1/CYB561D2/NDUFV1/COX7B/NDUFS4/NDUFA1/NDUFB2/NDUFS8,28
MF,GO:0019843,rRNA binding,32/3719,65/13352,2.0059462694506133e-4,0.02672923404042942,0.026552394040359435,IMP3/DDX28/RPS5/RPS13/RPLP0P6/RPS18/RPS9/RPLP0/RPL8/ERAL1/IMP4/RPL23A/RPS11/MRPL11/RPL23/RPS3/NPM1/MRPS7/BRIX1/MRPL18/TST/MRPS18A/RPS4X/RCC1L/RPL9/FASTKD2/TACO1/RPF1/RNASEL/NGRN/MRPS17/CAVIN1,32
