ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0006754,ATP biosynthetic process,41/3689,87/13192,1.0594651830128896e-4,0.03726180871901162,0.03726180871901162,ATP5MC2/ATP5MC3/ATP5F1C/STOML2/NDUFA8/SDHC/ENO1/NDUFB7/ATP5F1D/NDUFS3/TMSB4X/NDUFS7/NDUFC2/ANTKMT/SDHD/ATP5F1B/NDUFB11/NDUFB6/PPARA/ATP5MK/NDUFA5/ATP5MC1/NDUFB5/NDUFA2/ATP5F1A/NDUFV1/ATP5PD/NDUFS4/NDUFA1/ATP5MJ/NDUFB2/ATP5F1E/NDUFS8/DNAJC30/ADCY10/ATP5PO/LIPA/ATP5PF/UQCC3/ALDOA/NUDT2,41
BP,GO:0015986,proton motive force-driven ATP synthesis,33/3689,66/13192,1.1899436268441278e-4,0.03726180871901162,0.03726180871901162,ATP5MC2/ATP5MC3/ATP5F1C/STOML2/NDUFA8/SDHC/NDUFB7/ATP5F1D/NDUFS3/NDUFS7/NDUFC2/ANTKMT/SDHD/ATP5F1B/NDUFB11/NDUFB6/ATP5MK/NDUFA5/ATP5MC1/NDUFB5/NDUFA2/ATP5F1A/NDUFV1/ATP5PD/NDUFS4/NDUFA1/ATP5MJ/NDUFB2/ATP5F1E/NDUFS8/DNAJC30/ATP5PO/ATP5PF,33
BP,GO:0042773,ATP synthesis coupled electron transport,39/3689,82/13192,1.2093627063509002e-4,0.03726180871901162,0.03726180871901162,NDUFA4/COX7C/UQCRC1/COX6A1/CYC1/NDUFA8/SDHC/UQCRH/COX4I1/CHCHD2/UQCRQ/NDUFB7/COX8A/NDUFS3/NDUFS7/NDUFC2/SDHD/COX5B/NDUFB6/NDUFA5/COX6B1/NDUFB5/COX7A2L/NDUFA2/COX7A2/UQCR10/PARK7/CDK1/NDUFV1/COX7B/NDUFS4/NDUFA1/CCNB1/NDUFB2/NDUFS8/UQCR11/COA6/UQCC3/UQCRHL,39
BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,39/3689,82/13192,1.2093627063509002e-4,0.03726180871901162,0.03726180871901162,NDUFA4/COX7C/UQCRC1/COX6A1/CYC1/NDUFA8/SDHC/UQCRH/COX4I1/CHCHD2/UQCRQ/NDUFB7/COX8A/NDUFS3/NDUFS7/NDUFC2/SDHD/COX5B/NDUFB6/NDUFA5/COX6B1/NDUFB5/COX7A2L/NDUFA2/COX7A2/UQCR10/PARK7/CDK1/NDUFV1/COX7B/NDUFS4/NDUFA1/CCNB1/NDUFB2/NDUFS8/UQCR11/COA6/UQCC3/UQCRHL,39
BP,GO:0140053,mitochondrial gene expression,67/3689,162/13192,1.548490089895409e-4,0.04519961072926283,0.04519961072926283,MRPS25/MRPL14/HSD17B10/MRPS12/SHMT2/MRPL43/COA3/MRPL54/GADD45GIP1/TBRG4/TUFM/MRPL28/MRPS34/MRPL41/MRPS18B/MRPL50/MRPS35/MRPL11/THAP11/MRPS16/MRPL4/MRPL49/AURKAIP1/MRPL58/MRPS2/MRPL37/MRPS23/FOXO3/FASTK/MRPL51/MRPS7/MRPL17/MRPL18/MRPL57/MRPS33/MRPL22/RMND1/POLRMT/MRPS18A/TRMT10C/TARS2/MRPL13/FASTKD1/RCC1L/MRPL34/MRPL36/MRPL12/CHCHD10/MRPL3/MRPL40/MRPS26/MRPL27/CHCHD1/MRPS5/MRPL55/MRPL1/MPV17L2/FASTKD2/MRPL15/MRPL39/TACO1/MRPL24/MTERF1/NGRN/MRPS17/MRPL23/MRPL38,67
CC,GO:0044391,ribosomal subunit,122/3861,182/13769,4.5257974700722495e-28,3.15900663411043e-25,2.9822623329107668e-25,RPL18A/RPS14/MRPS25/RPL39/IMP3/RPL18/RPS16/RPL10/MRPL14/RPS5/RPS2/RPL41/RPL37A/RPS13/RPS21/MRPS12/RPLP1/RPL13/MRPL43/RPLP0P6/RPL15/UBA52/RPS18/RPL13A/RPL32/MRPL54/RPS9/RPLP0/RPLP2/RPL35/RPL8/GADD45GIP1/RPSA/RPS15/RPS23/RPL23A/MRPL28/RPL36/RPL30/FAU/MRPS34/MRPL41/RPS19/RPS11/MRPS18B/RPL24/MRPL50/MRPS35/MRPL11/RPS20/MRPS16/RPL29/SNU13/MRPL4/RPL23/RPS7/RPL34/RPS3/RPS24/RPS29/MRPL49/AURKAIP1/MRPL58/RPL27/RPL10A/RPS25/MRPS2/MRPL37/NPM1/RPL27A/MRPS23/RPL35A/MRPL51/RPL38/RPL7/RPL31/MRPS7/MRPL17/MRPL18/RPL7A/RPS27A/MRPL57/RPS3A/RPS12/MRPS33/RPS17/RPS15A/MRPL22/EIF2A/RPL19/MRPS18A/RPL21/RPS4X/MRPL13/MRPL34/MRPL36/RPSA2/MRPL12/RPL17/RPL28/MRPL3/MRPL40/MRPS26/MRPL27/CHCHD1/MRPS5/RPL9/MRPL55/MRPL1/MPV17L2/DHX29/MRPL15/MRPL39/MRPL24/RPL26L1/RPS10/MRPS17/MRPL23/RPS27/MRPL38/RPL39L/RPS28,122
CC,GO:0005840,ribosome,130/3861,222/13769,9.618012353177765e-22,3.3566863112590396e-19,3.168881964783832e-19,RPL18A/RPS14/MRPS25/RPL39/IMP3/RPL18/RPS16/RPL10/MRPL14/RPS5/RPS2/RPL41/RPL37A/RPS13/RPS21/MRPS12/RPLP1/RPL13/MRPL43/RPLP0P6/RPL15/UBA52/RPS18/RPL13A/RPL32/MRPL54/RPS9/RPLP0/RPLP2/RPL35/RPL8/GADD45GIP1/RPSA/RPS15/RPS23/EEF1A1/RPL23A/RSL24D1/MRPL28/RPL36/RPL30/FAU/MRPS34/MRPL41/RPS19/RPS11/MRPS18B/RPL24/MRPL50/MRPS35/MRPL11/RPS20/MRPS16/RPL29/SNU13/MRPL4/RPL23/RPS7/RPL34/RPS3/RPS24/RPS29/MRPL49/AURKAIP1/MRPL58/RPL27/RPL10A/RPS25/MRPS2/ABCE1/MRPL37/NPM1/RPL27A/MRPS23/RPL35A/MRPL51/RPL38/RPL7/RPL31/MRPS7/MRPL17/MRPL18/RPL7A/APEX1/RPS27A/MRPL57/RPS3A/RPS12/MRPS33/RPS17/RPS15A/MRPL22/EIF2A/RPL19/MRPS18A/RPL21/RPS4X/MRPL13/MRPL34/MRPL36/RPSA2/MRPL12/RPL17/RRBP1/RPL28/MRPL3/MRPL40/MRPS26/MRPL27/CHCHD1/RPL22L1/MRPS5/RPL9/MRPL55/LTN1/MRPL1/MPV17L2/DHX29/MRPL15/MRPL39/MRPL24/RPL26L1/RPS10/RNF25/MRPS17/MRPL23/RPS27/MRPL38/RPL39L/RPS28,130
CC,GO:0000786,nucleosome,75/3861,108/13769,3.811486727631972e-19,8.86805911962372e-17,8.371897163149524e-17,H4C9/H2BC13/H4C1/H2AC11/H2AC8/H4C6/H3C10/H2BC15/H1-4/H3C8/H4C4/H3C7/RUVBL2/H1-10/MPHOSPH8/H4C3/H2BC10/H1-3/H3C2/H3C1/H1-2/H2BC26/H4C12/H2BC17/H4C5/H2AC20/H2AC25/H2BC12/H2AC13/H1-5/ACTR6/H4C2/H4C16/H2BC11/H2AZ1/H4C8/H3C13/H2AC12/VPS72/H2AC4/ZNHIT1/H2AC21/H2BC8/H2AC6/H4C11/H3C3/H2AC15/H2BC9/KAT6A/H2AJ/ING3/H2BC7/YEATS4/H3C14/H2AX/H4C13/H2BC6/H3C11/H2BC3/H2AC16/H2BC5/H2AC18/TRRAP/EP400/H3C6/H1-0/H3C12/H4C15/H2BC18/H2AC19/H3C15/H2BC14/SLF1/H4C14/CENPA,75
CC,GO:0022626,cytosolic ribosome,76/3861,112/13769,1.8549612059812474e-18,3.2369073044372766e-16,3.055804513011213e-16,RPL18A/RPS14/RPL39/RPL18/RPS16/RPL10/RPS5/RPS2/RPL41/RPL37A/RPS13/RPS21/RPLP1/RPL13/RPLP0P6/RPL15/UBA52/RPS18/RPL13A/RPL32/RPS9/RPLP0/RPLP2/RPL35/RPL8/RPSA/RPS15/RPS23/EEF1A1/RPL23A/RPL36/RPL30/FAU/RPS19/RPS11/RPL24/RPS20/RPL29/SNU13/RPL23/RPS7/RPL34/RPS3/RPS24/RPS29/RPL27/RPL10A/RPS25/ABCE1/RPL27A/RPL35A/RPL38/RPL7/RPL31/RPL7A/RPS27A/RPS3A/RPS12/RPS17/RPS15A/EIF2A/RPL19/RPL21/RPS4X/RPSA2/RPL17/RPL28/RPL9/LTN1/DHX29/RPL26L1/RPS10/RNF25/RPS27/RPL39L/RPS28,76
CC,GO:0015934,large ribosomal subunit,74/3861,112/13769,5.205383288498695e-17,7.266715070744178e-15,6.860147239158282e-15,RPL18A/RPL39/RPL18/RPL10/MRPL14/RPL41/RPL37A/RPLP1/RPL13/MRPL43/RPLP0P6/RPL15/UBA52/RPL13A/RPL32/MRPL54/RPLP0/RPLP2/RPL35/RPL8/GADD45GIP1/RPL23A/MRPL28/RPL36/RPL30/MRPL41/RPL24/MRPL50/MRPL11/RPL29/SNU13/MRPL4/RPL23/RPL34/MRPL49/MRPL58/RPL27/RPL10A/MRPL37/NPM1/RPL27A/RPL35A/MRPL51/RPL38/RPL7/RPL31/MRPL17/MRPL18/RPL7A/MRPL57/MRPL22/RPL19/MRPS18A/RPL21/MRPL13/MRPL34/MRPL36/MRPL12/RPL17/RPL28/MRPL3/MRPL40/MRPL27/RPL9/MRPL55/MRPL1/MPV17L2/MRPL15/MRPL39/MRPL24/RPL26L1/MRPL23/MRPL38/RPL39L,74
CC,GO:0015935,small ribosomal subunit,51/3861,74/13769,3.0010642754180857e-13,3.491238107069706e-11,3.295905677915301e-11,RPS14/MRPS25/IMP3/RPS16/RPS5/RPS2/RPS13/RPS21/MRPS12/UBA52/RPS18/RPS9/RPSA/RPS15/RPS23/FAU/MRPS34/RPS19/RPS11/MRPS18B/MRPS35/RPS20/MRPS16/RPS7/RPS3/RPS24/RPS29/AURKAIP1/RPS25/MRPS2/NPM1/MRPS23/MRPS7/RPS27A/RPS3A/RPS12/MRPS33/RPS17/RPS15A/EIF2A/MRPS18A/RPS4X/RPSA2/MRPS26/CHCHD1/MRPS5/DHX29/RPS10/MRPS17/RPS27/RPS28,51
CC,GO:0022627,cytosolic small ribosomal subunit,33/3861,40/13769,1.11447185432368e-12,1.1112876490256123e-10,1.0491118508370282e-10,RPS14/RPS16/RPS5/RPS2/RPS13/RPS21/UBA52/RPS18/RPS9/RPSA/RPS15/RPS23/FAU/RPS19/RPS11/RPS20/RPS7/RPS3/RPS24/RPS29/RPS25/RPS27A/RPS3A/RPS12/RPS17/RPS15A/EIF2A/RPS4X/RPSA2/DHX29/RPS10/RPS27/RPS28,33
CC,GO:0022625,cytosolic large ribosomal subunit,40/3861,56/13769,1.8621402171771875e-11,1.624717339487096e-9,1.533815494674894e-9,RPL18A/RPL39/RPL18/RPL10/RPL41/RPL37A/RPLP1/RPL13/RPLP0P6/RPL15/UBA52/RPL13A/RPL32/RPLP0/RPLP2/RPL35/RPL8/RPL23A/RPL36/RPL30/RPL24/RPL29/SNU13/RPL23/RPL34/RPL27/RPL10A/RPL27A/RPL35A/RPL38/RPL7/RPL31/RPL7A/RPL19/RPL21/RPL17/RPL28/RPL9/RPL26L1/RPL39L,40
CC,GO:0043505,CENP-A containing nucleosome,18/3861,18/13769,1.1167224732110943e-10,7.794722863013438e-9,7.358613349791001e-9,H4C9/H4C1/H2AC8/H4C6/H4C4/H4C3/H4C12/H4C5/H4C2/H4C16/H2BC11/H4C8/H2AC4/H4C11/H4C13/H4C15/H4C14/CENPA,18
CC,GO:0061638,CENP-A containing chromatin,18/3861,18/13769,1.1167224732110943e-10,7.794722863013438e-9,7.358613349791001e-9,H4C9/H4C1/H2AC8/H4C6/H4C4/H4C3/H4C12/H4C5/H4C2/H4C16/H2BC11/H4C8/H2AC4/H4C11/H4C13/H4C15/H4C14/CENPA,18
CC,GO:0098798,mitochondrial protein-containing complex,124/3861,274/13769,6.467028097464935e-10,4.103623283664113e-8,3.8740283148450236e-8,NDUFA4/MRPS25/MRPL14/HSD17B10/ATP5MC2/ATP5MC3/MRPS12/SLC25A6/MRPL43/ATP5F1C/COX7C/UQCRC1/MRPL54/TIMM13/TOMM7/COX6A1/CYC1/NDUFA8/SDHC/UQCRH/GADD45GIP1/PHB1/MICOS13/SMDT1/COX4I1/UQCRQ/TIMM50/TOMM22/NDUFB7/ATP5F1D/MRPL28/IDH3B/COX8A/MRPS34/NDUFS3/MRPL41/NDUFS7/MRPS18B/MRPL50/NDUFC2/MRPS35/MRPL11/PHB2/MRPS16/SDHD/COX5B/MRPL4/ATP5F1B/NDUFB11/NDUFB6/ATP5MK/NDUFA5/MRPL49/AURKAIP1/MRPL58/ATP5MC1/MRPS2/MRPL37/COX6B1/NDUFB5/MRPS23/TIMM8B/COX7A2L/NDUFA2/COX7A2/MRPL51/UQCR10/MRPS7/MRPL17/MRPL18/ATP5F1A/MRPL57/TOMM40/NDUFV1/MRPS33/ATP5PD/TIMM17B/MRPS36/MTX2/MRPL22/POLRMT/TIMM9/COX7B/MRPS18A/TRMT10C/IDH3G/TIMM10/NDUFS4/NDUFA1/MRPL13/BAX/MRPL34/MRPL36/SLC25A5/TRMT10B/MRPL12/CHCHD10/MRPL3/ATP5MJ/NDUFB2/ATP5F1E/MRPL40/NDUFS8/MRPS26/PAM16/MRPL27/CHCHD1/MRPS5/MRPL55/ROMO1/MRPL1/MPV17L2/MRPL15/UQCR11/MRPL39/MICU3/ATP5PO/MRPL24/ATP5PF/MRPS17/MRPL23/MRPL38/UQCRHL/C15orf48,124
CC,GO:0034506,"chromosome, centromeric core domain",18/3861,19/13769,1.5600087520288355e-9,9.074050907634392e-8,8.566363848860098e-8,H4C9/H4C1/H2AC8/H4C6/H4C4/H4C3/H4C12/H4C5/H4C2/H4C16/H2BC11/H4C8/H2AC4/H4C11/H4C13/H4C15/H4C14/CENPA,18
CC,GO:0019814,immunoglobulin complex,45/3861,79/13769,6.297302275597377e-8,3.381166914128438e-6,3.1919928943513835e-6,CD79B/TMIGD2/IGLV3-25/IGLC2/IGHV5-51/IGKV4-1/IGLC3/IGLC7/IGLV8-61/CD79A/IGLV3-19/JCHAIN/IGHE/IGHV3-33/IGKV2-28/IGLL5/IGLV3-21/IGLV1-44/IGLV2-14/IGHA2/IGHV1-18/IGKV2D-28/IGHV3-74/IGHM/IGLV4-69/IGKC/IGHA1/IGKV3-15/IGHV1-69D/IGKV1-17/IGKV3-20/IGHG4/IGHV3-23/IGHV6-1/IGHV3-48/IGLV3-9/IGHV4-34/IGKV2-30/IGLV2-23/IGKV1-12/IGHV3-21/IGHV3-15/IGLV1-40/IGHV1-3/IGLV7-46,45
CC,GO:0000313,organellar ribosome,48/3861,88/13769,1.4469498791529998e-7,6.733140104325293e-6,6.356425434033529e-6,MRPS25/MRPL14/MRPS12/MRPL43/MRPL54/GADD45GIP1/MRPL28/MRPS34/MRPL41/MRPS18B/MRPL50/MRPS35/MRPL11/MRPS16/MRPL4/MRPL49/AURKAIP1/MRPL58/MRPS2/MRPL37/MRPS23/MRPL51/MRPS7/MRPL17/MRPL18/MRPL57/MRPS33/MRPL22/MRPS18A/MRPL13/MRPL34/MRPL36/MRPL12/MRPL3/MRPL40/MRPS26/MRPL27/CHCHD1/MRPS5/MRPL55/MRPL1/MPV17L2/MRPL15/MRPL39/MRPL24/MRPS17/MRPL23/MRPL38,48
CC,GO:0005761,mitochondrial ribosome,48/3861,88/13769,1.4469498791529998e-7,6.733140104325293e-6,6.356425434033529e-6,MRPS25/MRPL14/MRPS12/MRPL43/MRPL54/GADD45GIP1/MRPL28/MRPS34/MRPL41/MRPS18B/MRPL50/MRPS35/MRPL11/MRPS16/MRPL4/MRPL49/AURKAIP1/MRPL58/MRPS2/MRPL37/MRPS23/MRPL51/MRPS7/MRPL17/MRPL18/MRPL57/MRPS33/MRPL22/MRPS18A/MRPL13/MRPL34/MRPL36/MRPL12/MRPL3/MRPL40/MRPS26/MRPL27/CHCHD1/MRPS5/MRPL55/MRPL1/MPV17L2/MRPL15/MRPL39/MRPL24/MRPS17/MRPL23/MRPL38,48
CC,GO:0005743,mitochondrial inner membrane,173/3861,441/13769,1.669269994604705e-7,7.282190351463026e-6,6.8747566883062204e-6,NDUFA4/MRPS25/MRPL14/ATP5MC2/ATP5MC3/MRPS12/SHMT2/SLC25A6/MRPL43/ATP5F1C/COX7C/COA3/HIGD1A/UQCRC1/MRPL54/TIMM13/NDUFAF3/COX6A1/CYC1/STOML2/NDUFA8/SDHC/UQCRH/TMEM14C/ERAL1/GADD45GIP1/PHB1/TMEM160/MICOS13/SMDT1/COX4I1/DMAC1/UQCRQ/TIMM50/NDUFB7/ATP5F1D/MRPL28/SLC25A1/COX8A/MRPS34/NDUFS3/MRPL41/NDUFS7/MRPS18B/MRPL50/NDUFC2/MRPS35/MRPL11/PHB2/ENDOG/MRPS16/SDHD/COX5B/MRPL4/ATP5F1B/NDUFB11/HIGD2A/NDUFB6/RPS3/ATP5MK/NDUFA5/MRPL49/AURKAIP1/MRPL58/ATP5MC1/TMEM126A/MRPS2/MRPL37/COX6B1/NDUFB5/OMA1/CKMT2/MRPS23/SLC25A19/TIMM8B/COX7A2L/ECSIT/NDUFA2/COX7A2/MRPL51/UQCR10/SURF1/MRPS7/NDUFAF4/UQCC4/MRPL17/MRPL18/MTLN/ATP5F1A/TMEM223/MRPL57/TOMM40/TMEM11/NDUFV1/MRPS33/ATP5PD/TIMM17B/MRPS36/MTX2/TMEM126B/MRPL22/TIMM9/COX7B/MRPS18A/MTHFD2L/TIMM10/NDUFS4/NDUFA1/MRPL13/SLC25A36/RCC1L/MRPL34/CYP27A1/MRPL36/SLC25A5/TRMT10B/MRPL12/CHCHD10/UCP3/MRPL3/ATP5MJ/NDUFB2/ATP5F1E/MRPL40/NDUFS8/SMIM20/BCL2L1/MRPS26/PAM16/MRPL27/CHCHD1/MRPS5/MRPL55/SLC25A40/ROMO1/SLC25A20/MRPL1/MPV17L2/NME4/MRPL15/DNAJC30/UQCR11/MRPL39/FDXR/PLA2G4A/MICU3/CRAT/LYN/SLC25A11/ATP5PO/LDHB/MRPL24/LDHD/SLC25A39/ATP5PF/UQCC3/TMEM186/MRPS17/GCAT/TMEM177/MRPL23/CLU/MRPL38/SLC25A37/SLC25A10/SLC25A2/CYP11B1/MTFP1/UQCRHL/GATM/NEU4/C15orf48/IFI6,173
CC,GO:0000315,organellar large ribosomal subunit,33/3861,55/13769,7.023560854966171e-7,2.723580820425771e-5,2.5711983012917097e-5,MRPL14/MRPL43/MRPL54/GADD45GIP1/MRPL28/MRPL41/MRPL50/MRPL11/MRPL4/MRPL49/MRPL58/MRPL37/MRPL51/MRPL17/MRPL18/MRPL57/MRPL22/MRPS18A/MRPL13/MRPL34/MRPL36/MRPL12/MRPL3/MRPL40/MRPL27/MRPL55/MRPL1/MPV17L2/MRPL15/MRPL39/MRPL24/MRPL23/MRPL38,33
CC,GO:0005762,mitochondrial large ribosomal subunit,33/3861,55/13769,7.023560854966171e-7,2.723580820425771e-5,2.5711983012917097e-5,MRPL14/MRPL43/MRPL54/GADD45GIP1/MRPL28/MRPL41/MRPL50/MRPL11/MRPL4/MRPL49/MRPL58/MRPL37/MRPL51/MRPL17/MRPL18/MRPL57/MRPL22/MRPS18A/MRPL13/MRPL34/MRPL36/MRPL12/MRPL3/MRPL40/MRPL27/MRPL55/MRPL1/MPV17L2/MRPL15/MRPL39/MRPL24/MRPL23/MRPL38,33
