ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0030218,erythrocyte differentiation,122,0.4337539838797062,1.6734262538695484,3.465462269475161e-4,0.018767328678769367,0.016982004682813898,2226,"tags=25%, list=12%, signal=22%",10320/28996/222642/25893/2309/51621/9258/5469/116151/23186/91/29766/4602/1054/2624/4067/5591/23456/9991/22985/677/10019/405/6774/3303/604/3304/55904/3624/60682/103
GO:0001525,angiogenesis,401,0.3266580898256102,1.4479305603506742,3.5066734317100245e-4,0.018807908078921652,0.017018723790536,3604,"tags=28%, list=20%, signal=23%",688/861/28996/65125/27161/5469/375056/55333/285/6789/154796/8828/90268/26523/9525/57674/204851/4627/3213/2624/92140/5170/140862/4204/7410/5291/634/8434/889/4856/7342/2822/11061/5579/2335/2683/79602/5787/10163/5578/6667/28514/1901/5534/2004/221981/7716/57343/9990/7855/7057/6774/5294/6850/728/3099/3716/9037/60675/4838/290/90/820/51378/7039/55810/4853/57125/1524/57556/2969/90139/3690/10855/718/51176/80025/2247/23328/3579/1285/407034/1116/7060/84034/85301/240/9475/1432/23670/9451/9314/23251/7048/2113/25932/2034/25/182/9510/493/4086/1906/23576/6093/100423036/4851/80781/154810/2549/54583
GO:0000028,ribosomal small subunit assembly,19,-0.7146049412038767,-1.9437335157051945,3.5639150916543324e-4,0.018932874648807493,0.017131802370408546,3970,"tags=84%, list=22%, signal=66%",388524/7520/102724159/6234/27341/51065/6209/6223/6232/3921/29777/51081/6193/6169/6208/26284
GO:0060627,regulation of vesicle-mediated transport,417,0.3223417527353327,1.4340623858734978,3.8193528322748364e-4,0.020098443489083996,0.018186491391020694,2573,"tags=21%, list=14%, signal=18%",200933/376267/27/112476/83452/22895/5978/84961/7275/488/5795/55333/867/55198/2181/9525/201475/23332/29978/2624/4771/5170/22876/127833/7874/3673/5291/634/51760/29904/196527/5530/5873/4067/9846/382/5579/3092/23011/57126/11031/5336/28514/5534/998/8447/79872/57118/3745/9912/8527/6850/4478/8832/11252/9098/85439/6653/51429/51479/9805/94121/88455/51652/30817/246/114781/1794/60682/3690/718/8720/10326/8927/140775/8650/8291/9779/1601/22930/154664/5594/56850/8851/6281/6622/140885
GO:0014896,muscle hypertrophy,64,0.5228578734582794,1.8473432528621043,3.961612517345751e-4,0.020460995020143147,0.018514553626386824,3473,"tags=42%, list=19%, signal=34%",5062/488/5465/3720/9759/7528/22876/5530/4089/5578/7074/2308/10611/183/10038/9868/9475/23125/9682/6548/4088/5152/493/1906/27086/6093/4851
GO:0007179,transforming growth factor beta receptor signaling pathway,172,0.3958713952048384,1.5999939866828705,3.947996917753892e-4,0.020460995020143147,0.018514553626386824,3518,"tags=30%, list=19%, signal=25%",25942/28996/2033/2734/9113/5465/55198/4093/26524/1387/5170/3309/64750/4089/79685/84312/57178/9110/200734/7057/6774/9372/406954/6497/3303/90/7148/858/9392/11171/753/54778/3622/3621/57154/1601/50515/6868/79595/8239/4088/7048/7791/3065/2200/4086/1030/4053/7043/4054/56937/163126
GO:0016055,Wnt signaling pathway,332,0.33309485671186334,1.4454500494669578,4.7077913289681736e-4,0.024091798195398598,0.02179996081352235,2904,"tags=25%, list=16%, signal=21%",22881/85407/607/100133941/1457/4163/53944/65125/8313/1459/23240/79960/8932/6907/9113/57680/6789/54894/27031/90268/26524/9525/406/51339/57674/83439/23168/2239/151195/23291/59343/8434/64750/10159/63977/7074/7090/5336/6597/331/84327/998/7091/7855/1452/9209/1958/2869/6497/79705/2308/2011/6477/3836/1540/9037/9968/1857/144165/6932/10042/54972/80351/2131/51176/57154/440193/10146/4811/1601/2247/27185/5515/7473/5728/8613/5879/129293/1432/9314/23394/4088
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,34,0.6148648533409413,1.887162444510969,5.135179597477488e-4,0.026040028904299482,0.023562857578856036,1208,"tags=29%, list=7%, signal=28%",27327/23112/27161/57690/57472/9337/26986/23019/11044/10140
GO:0061644,protein localization to CENP-A containing chromatin,18,-0.7347847224905734,-1.9734450768583065,5.538347769316598e-4,0.027831444916439622,0.02518385732941971,2923,"tags=67%, list=16%, signal=56%",8363/8360/8366/8365/121504/8294/8364/8359/8361/3012/8367/8362
GO:0043487,regulation of RNA stability,166,0.390142787531936,1.5711039003204137,5.690679535073831e-4,0.028341616470215922,0.025645496588984042,2316,"tags=26%, list=13%, signal=23%",1994/27327/23112/8148/8313/23367/27161/57690/57472/51441/219988/9337/7188/23185/26986/23019/2521/11044/26058/55802/10658/5578/8761/10140/677/3192/253943/25819/406954/1736/55603/10236/6041/678/54915/9698/26135/149041/54888/79068/8531/131405/55051
