category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
NA,NA,hsa04148,Efferocytosis,3/8,142/6352,5.641801305547593e-4,0.006663769625262837,0.00526087075678645,100133941/1844/1850,3
Genetic Information Processing,Replication and repair,hsa03440,Homologous recombination,2/8,41/6352,0.0011106282708771395,0.006663769625262837,0.00526087075678645,50511/8438,2
